Designator,Mid X,Mid Y,Rotation,Layer
C1,181.7,-101.7,270.0,top
C2,181.7,-97.6,90.0,top
C3,187.5,-97.6,270.0,top
C4,170.8,-71.8,90.0,top
C5_2,171.1,-92.0,270.0,top
C5,170.9,-68.0,270.0,top
C6,169.2,-68.025,270.0,top
C7,189.0,-101.1,270.0,top
C8,190.9,-101.1,270.0,top
D1,188.8,-109.7875,90.0,top
F1,179.6,-101.7,90.0,top
J1,175.575,-109.05,0.0,top
J2,199.2,-77.2,90.0,top
LS1,193.395,-109.586667,90.0,top
Q1,187.1,-88.6625,270.0,top
Q2,187.0,-92.6625,90.0,top
R1,171.25,-102.1,90.0,top
R10,182.6,-106.061667,180.0,top
R11,193.2,-97.425,270.0,top
R2,179.0,-98.181391,0.0,top
R3,172.0,-98.2,0.0,top
R4,189.1,-97.6,270.0,top
R5,182.993256,-92.584977,180.0,top
R6,183.0,-91.0,180.0,top
R7,183.004089,-89.426094,180.0,top
R8,183.004089,-87.844488,180.0,top
R9,185.700208,-106.086667,0.0,top
SW1,185.738679,-109.4,90.0,top
SW2,182.6,-109.401597,90.0,top
U1,184.6,-97.588355,180.0,top
U2,175.7,-91.925,270.0,top
U4,181.8,-75.0,0.0,top
U5,175.6,-101.3,270.0,top
U6,193.89,-101.31,270.0,top
