Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C2, C5, C7",0603,3,10uF,
C3,0603,1,4.7uF,
C4,0603,1,1uF,
"C5_2, C6, C8",0603,3,0.1uF,
D1,0603,1,RED_LED,
F1,0805,1,1.2A,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,1,Conn_01x06_MountingPin,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
"Q1, Q2",SOT-23,2,BC847,
R1,0603,1,1M,
"R10, R5, R6, R9",0603,4,10k,
R11,0603,1,634k,
"R2, R3",0603,2,5.1k,
R4,0603,1,600,
"R7, R8",0603,2,1k,
"SW1, SW2",SW_SPST_CK_KXT3,2,SW_Push,
U1,SOT-23-5,1,XC6220B331MR,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U4,ESP32-WROOM-32U,1,ESP32-WROOM-32U,
U5,SOT-23-6,1,USBLC6-2SC6,
U6,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
